SMILES,pIC50
O=C(OC(C)(C)C)CN1N=NN=C1C(C2=CC=C(OC)C=C2)NC3=CC=C(NC=N4)C4=C3,5.4
O=C(OCC)C1CCCCC1N2N=NN=C2C(C3=CC=C(OC)C=C3)NC4=CC=C(NC=N5)C5=C4,5.24
BrC1=CC(Br)=CC(C(C2=NN=NN2CC3=CC=CC=C3)NC4=CC=C(NC=N5)C5=C4)=C1,5.89
CC(C1=CC=CC=C1)CC(C2=NN=NN2C3=CC=C(OC4=CC=CC=C4)C=C3)NC5=CC=C(NC=N6)C6=C5,5.17
O=[N+](C(C=C1)=CC=C1N2N=NN=C2C(C3=CSC4=C3C=CC=C4)NC5=CC=C(NC=N6)C6=C5)[O-],5.07
CCCOC1=CC=CC(C(C2=NN=NN2C3CCCCC3C(OCC)=O)NC4=CC=C(NC=N5)C5=C4)=C1,5.66
C1(NC(C2=CC=C(C3=NC=CC=C3)C=C2)C4=NN=NN4CCC5=CC=CS5)=CC=C(NC=N6)C6=C1,5.66
O=C(N(C1CCCCC1)C2=CC3=C(C=C2)C(C)=NN3)NCCCN4C(C)=CN=C4,5.49
O=C(N(CC1=CN=CC=C1)C2=CC3=C(C=C2)C(C)=NN3C)NCCCN4C(C)=CN=C4,4.18
O=C(N(CC1=CC=C(F)C=C1)C2=CC3=C(C=C2)C=NN3CCC)NCCCN4C(C)=CN=C4,4.2
O=C(N(CC1=CC=C(F)C=C1)C2=CC3=NN(C)C(C)=C3C=C2)NCCCN4C(C)=CN=C4,4.81
O=C(NC1=CC2=C(C=C1)NN=C2C)NCCCN3C(C)=CN=C3,3.97
O=C(NC1=CC2=C(C=C1)N(C)N=C2C)NCCCN3C(C)=CN=C3,5.25
O=C(N(CC1CCCC1)C2=CC3=C(C=C2)N(C)N=C3C)NCCCN4C(C)=CN=C4,4.88
O=C(N(CC1=CC=C(F)C=C1)C2=CC3=C(C=C2)N(C)N=C3C)NCCCN4C(C)=CN=C4,5.52
O=C(N(C/1C2=C(F)C(F)=CC=C2)CCCN3C=CN=C3)NC1=N/C(C)C4=CC=CC=C4,5.19
O=C(N(C/1C2=CC=CC=C2)CCCN3C=CN=C3)NC1=N\C,5.12
O=C(N(C/1CCCC)CCCN2C=CN=C2)NC1=N\C,5.12
O=C(N(C/1C2=C(F)C=CC=C2)CCCN3C=CN=C3)NC1=N/CC4=CC=C(Cl)C=C4,5.4
O=C(N(C/1C2=C(F)C=CC=C2)CCCN3C=CN=C3)NC1=N/CC4=CC(OC)=C(OC)C(OC)=C4,5.51
O=C(N(C/1CCC)CCCN2C=CN=C2)NC1=N\C3=CC=C(OCCO4)C4=C3,5.07
O=C(N(C/1CCCC)CCCN2C=CN=C2)NC1=N\C3=CC=C(OCCO4)C4=C3,5.24
O=C(N(C/1C)CCCN2C=CN=C2)NC1=N\CCC3=CNC4=C3C=CC=C4,5.12
O=C(N(C/1C2=C(F)C(F)=CC=C2)CCCN3C=CN=C3)NC1=N\CCC4=CNC5=C4C=CC=C5,5.66
O=C(N(C/1C2CC2)CCCN3C=CN=C3)NC1=N\CCC4=CNC5=C4C=CC=C5,5.24
O=C(N(C/1C2=CC=C(F)C=C2)CCCN3C=CN=C3)NC1=N\CCC4=CNC5=C4C=CC=C5,5.51
O=C(N(C/1C2=CC=C(O)C=C2)CCCN3C=CN=C3)NC1=N\CCC4=CNC5=C4C=CC=C5,5.89
O=C(N(C/1C2=CC=C(Cl)C(F)=C2)CCCN3C=CN=C3)NC1=N\CC(N4CCC(C=CC=C5)=C5C4)=O,5.51
O=C(N(C/1C2=CC=CO2)CCCN3C=CN=C3)NC1=N\CC(N4CCC(C=CC=C5)=C5C4)=O,5.17
O=C(N(C/1CCCC)CCCN2C=CN=C2)NC1=N\CC(N3CCC(C=CC=C4)=C4C3)=O,5.12
